ano	regiao	sg_estado	id_cbo	renda_mensal_total	total_empregos	total_estabelecimentos
2014	Norte	AM	2341	252979.97	129	22
2014	Norte	AM	2342	35573.63	9	5
2014	Norte	AM	2343	1300057.76	160	10
2014	Norte	AM	2344	777875.3	441	28
2014	Norte	AM	2345	15032384.38	2953	32
2014	Norte	AM	2346	2634677.13	973	95
2014	Norte	AM	2347	684047.38	244	18
2014	Norte	AM	2348	243820.42	86	14
2014	Norte	AM	2349	80848.62	43	9
2014	Norte	AM	2392	38320.59	21	4
2014	Norte	AM	2394	8869267.25	3372	333
2014	Norte	AM	2410	2856316.61	479	228
2014	Norte	AM	2412	4752891.65	219	30
2014	Norte	AM	2413	198259.42	31	14
2014	Norte	AM	2422	41731.16	7	3
2014	Norte	AM	2423	6151671.86	444	8
2014	Norte	AM	2424	2333448.47	107	6
2014	Norte	AM	2511	142253.77	28	17
2014	Norte	AM	2512	3605494.25	564	237
2014	Norte	AM	2513	24835.97	6	5
2014	Norte	AM	2515	1835888.57	484	133
2014	Norte	AM	2516	5882745.95	1275	211
2014	Norte	AM	2521	12332339.1	2259	580
2014	Norte	AM	2522	20389733.4	2324	744
2014	Norte	AM	2523	10604187.53	3602	667
